genre_name,artist_count
Hard Techno,28
Peak-Time Techno,12
Techno,12
Melodic Techno,12
Dark Disco,8
Acid Techno,8
High-Tech Minimal,4
Deep Techno,4
Minimal Techno,4
Psytrance Techno,4
