genre_name,no_links,total_artists,percent_no_links
Schranz,1,0,
Tech House,1,0,
Groove Techno,1,0,
Electro Techno,1,0,
Berlin Techno,1,0,
Progressive House,1,0,
Rave Techno,1,0,
Progressive Techno,1,0,
Tribal Techno,1,0,
Hardcore Techno,1,0,
